no,competency_type_id,level,deskripsi_perilaku,tools_training,kode,topik_training,generated_file_url,generated_pdf_url,generated_at
115,1,3,Merencanakan dan melaksanakan perubahan dengan melibatkan berbagai pihak dan mengurangi penolakan terhadap perubahan yang akan terjadi.,RACI Model for Manager,M165,RACI for Managers,NULL,NULL,NULL
116,1,3,Merencanakan dan melaksanakan perubahan dengan melibatkan berbagai pihak dan mengurangi penolakan terhadap perubahan yang akan terjadi.,ADKAR Model (Prosci),M166,Managing Organizational Change,NULL,NULL,NULL
117,1,2,Mengidentifikasi hambatan dalam proses perubahan dan mencari solusi agar proses perubahan dapat berjalan dengan lancar.,Strategic Problem Solving & Root Cause Analysis (Fishbone),M167,Mastering Strategic Problem Solving,NULL,NULL,NULL
118,1,2,Mengidentifikasi hambatan dalam proses perubahan dan mencari solusi agar proses perubahan dapat berjalan dengan lancar.,PDCA Cycle (Plan–Do–Check–Act),M168,Optimizing Processes for Continuous Improvement,NULL,NULL,NULL
119,1,1,Menerima dan melaksanakan perubahan terkait pekerjaan dengan baik serta membantu rekan kerja atau bawahan memahami perubahan tersebut.,7 Habits of Highly Effective People: Synergize,M169,Driving Team Collaboration and Synergy,NULL,NULL,NULL
120,1,1,Menerima dan melaksanakan perubahan terkait pekerjaan dengan baik serta membantu rekan kerja atau bawahan memahami perubahan tersebut.,Kotter’s 8-Step Change Model,M170,Navigating Organizational Change with Confidence,NULL,NULL,NULL
121,6,4,Mengembangkan pendekatan pembelajaran yang efektif untuk situasi kompleks dan membangun budaya belajar dalam tim melalui berbagi pengalaman dan pengetahuan.,SECI Model (Nonaka & Takeuchi),M171,Knowledge Transformation,NULL,NULL,NULL
122,6,4,Mengembangkan pendekatan pembelajaran yang efektif untuk situasi kompleks dan membangun budaya belajar dalam tim melalui berbagi pengalaman dan pengetahuan.,Communities of Practice (Etienne Wenger),M172,Building Collective Learning,NULL,NULL,NULL
123,6,3,Mengambil inisiatif untuk mencoba solusi baru untuk situasi yang belum familiar, serta secara rutin mengevaluasi hasil kerja untuk pembelajaran berkelanjutan.,PDCA Cycle (Plan–Do–Check–Act),M173,Continuous Improvement at Work,NULL,NULL
124,6,3,Mengambil inisiatif untuk mencoba solusi baru untuk situasi yang belum familiar, serta secara rutin mengevaluasi hasil kerja untuk pembelajaran berkelanjutan.,After Action Review (AAR),M174,Learning from Action,NULL,NULL
125,6,2,Menerapkan pelajaran dari pengalaman sebelumnya dan mencoba pendekatan baru untuk mengatasi masalah yang tidak biasa, dengan bantuan senior atau rekan kerja.,Collaborative Problem Solving,M175,Effective Cross-Functional Team,NULL,NULL
126,6,2,Menerapkan pelajaran dari pengalaman sebelumnya dan mencoba pendekatan baru untuk mengatasi masalah yang tidak biasa, dengan bantuan senior atau rekan kerja.,Feedback Seeking Behavior,M176,Accelerating Learning and Adaptation,NULL,NULL
127,6,1,Memahami pentingnya belajar dari pengalaman dan terbuka terhadap cara-cara baru ketika menghadapi situasi yang belum pernah dialami sebelumnya.,Learning Agility Framework,M177,Accelerating Learning and Adaptation,NULL,NULL,NULL
128,6,1,Memahami pentingnya belajar dari pengalaman dan terbuka terhadap cara-cara baru ketika menghadapi situasi yang belum pernah dialami sebelumnya.,Ikigai for Learning Agility,M178,Discovering Your Learning Methods,NULL,NULL,NULL
129,13,4,"Menyusun rencana kerja tim secara menyeluruh,  menentukan prioritas,  membagi tugas sesuai kemampuan anggota tim atau crew,  dan memantau hasil secara keseluruhan.",", Root Cause Analysis: Plan-Do-Check-Action",M179,PDCA for Problem Solving,NULL,NULL,NULL
130,13,4,"Menyusun rencana kerja tim secara menyeluruh,  menentukan prioritas,  membagi tugas sesuai kemampuan anggota tim atau crew,  dan memantau hasil secara keseluruhan.",", Strategic Thinking untuk Manager",M180,Strategic Thinking for Managers,NULL,NULL,NULL
131,13,3,"Mengevaluasi cara kerja untuk meningkatkan efisiensi,  mengantisipasi potensi hambatan,  dan mencari solusi agar pekerjaan tetap berjalan lancar.",", SWOT Analysis for Strategic Thinking",M181,Strategic Planning for Supervisor,NULL,NULL,NULL
132,13,3,"Mengevaluasi cara kerja untuk meningkatkan efisiensi,  mengantisipasi potensi hambatan,  dan mencari solusi agar pekerjaan tetap berjalan lancar.",", Strategic Problem Solving & Root Cause Analysis (Fishbone)",M182,Fishbone Problem Solving,NULL,NULL,NULL
133,13,2,"Merencanakan pekerjaan dengan menetapkan tujuan,  waktu,  dan kebutuhan yang diperlukan,  serta menyesuaikan rencana saat muncul kendala.",", Kaizen Mindset 101",M183,Driving Efficiency at Work,NULL,NULL,NULL
134,13,2,"Merencanakan pekerjaan dengan menetapkan tujuan,  waktu,  dan kebutuhan yang diperlukan,  serta menyesuaikan rencana saat muncul kendala.",", 4DX – Four Disciplines of Execution",M184,Achieving Goals with 4DX,NULL,NULL,NULL
135,13,1,Mengidentifikasi kebutuhan pekerjaan dan menyusun langkah untuk menyelesaikan tugas agar sesuai dengan target serta memantau progres pekerjaan secara rutin.,Time Management,M185,Basic Time Management,NULL,NULL,NULL
136,13,1,Mengidentifikasi kebutuhan pekerjaan dan menyusun langkah untuk menyelesaikan tugas agar sesuai dengan target serta memantau progres pekerjaan secara rutin.,Input–Process–Output (IPO) Thinking,M186,Basic Systematic Thinking,NULL,NULL,NULL
137,23,4,Menyusun strategi penyelesaian masalah jangka panjang secara sistematis untuk situasi yang berdampak besar atau lintas unit fungsi atau organisasi secara keseluruhan.,Strategic Risk Mapping,M187,Risk Mapping Strategy for Manager,NULL,NULL,NULL
138,23,4,Menyusun strategi penyelesaian masalah jangka panjang secara sistematis untuk situasi yang berdampak besar atau lintas unit fungsi atau organisasi secara keseluruhan.,Root Cause Analysis: Plan-Do-Check-Action,M188,Pareto Analysis for Problem Solving,NULL,NULL,NULL
139,23,3,Menyusun dan membandingkan berbagai pilihan solusi berdasarkan analisis informasi yang komprehensif untuk mengatasi suatu permasalahan kompleks dan memilih pendekatan terbaik dan efektif.,Strategic Problem Solving & Root Cause Analysis (Fishbone),M189,Problem Solving using Root Cause,NULL,NULL,NULL
140,23,3,Menyusun dan membandingkan berbagai pilihan solusi berdasarkan analisis informasi yang komprehensif untuk mengatasi suatu permasalahan kompleks dan memilih pendekatan terbaik dan efektif.,Pareto Analysis (80/20),M190,Prioritizing Skill for Optimal Results,NULL,NULL,NULL
141,23,2,Menganalisis informasi dari berbagai sumber untuk mengidentifikasi penyebab suatu permasalahan dan menentukan solusi yang paling sesuai dengan mempertimbangkan kondisi kerja saat ini.,Decision-Making Sederhana untuk Pekerjaan Sehari-hari,M191,Decision-Making for Daily Tasks,NULL,NULL,NULL
142,23,2,Menganalisis informasi dari berbagai sumber untuk mengidentifikasi penyebab suatu permasalahan dan menentukan solusi yang paling sesuai dengan mempertimbangkan kondisi kerja saat ini.,Critical Thinking,M192,Critical Thinking for Problem Solving,NULL,NULL,NULL
143,23,1,Mengumpulkan dan memahami informasi untuk menyelesaikan permasalahan yang bersifat rutin dan berulang dengan menggunakan pendekatan yang sudah terbukti efektif.,Agile Mindset,M193,Agile Mindset for Daily Challenges,NULL,NULL,NULL
144,23,1,Mengumpulkan dan memahami informasi untuk menyelesaikan permasalahan yang bersifat rutin dan berulang dengan menggunakan pendekatan yang sudah terbukti efektif.,Kaizen Mindset 101,M194,Implementing Kaizen for Continuous Improvement,NULL,NULL,NULL
145,19,4,Membangun kolaborasi strategis dengan berbagai pihak dan memimpin upaya kerja sama jangka panjang.,Alliance Lifecycle Management,M195,Building a Solid Teamwork,NULL,NULL,NULL
146,19,4,Membangun kolaborasi strategis dengan berbagai pihak dan memimpin upaya kerja sama jangka panjang.,RACI Model for Manager,M196,Conflict Resolution for Teams,NULL,NULL,NULL
147,19,3,Menjaga hubungan kerja secara aktif dan mencari cara untuk memperbaiki atau meningkatkan kerja sama dan kolaborasi yang ada.,Sandwich Feedback for Supervisory,M197,Effective Delegation and Empowerment,NULL,NULL,NULL
148,19,3,Menjaga hubungan kerja secara aktif dan mencari cara untuk memperbaiki atau meningkatkan kerja sama dan kolaborasi yang ada.,", GRPI Model (Goals,  Roles,  Processes,  Interpersonal Relationships)",M198,Task Management for Supervisor,NULL,NULL,NULL
149,19,2,Aktif menjalin kerja sama dengan unit lain dan pihak luar agar tugas berjalan lancar.,T.H.I.N.K. Model,M199,Ethical Communication,NULL,NULL,NULL
150,19,2,Aktif menjalin kerja sama dengan unit lain dan pihak luar agar tugas berjalan lancar.,Assertive Communication Ladder,M200,Speak Clearly, Stay Respectful,NULL,NULL
151,19,1,Bersikap sopan dan terbuka dalam bekerja sama dengan orang lain. Siap membantu saat diminta.,Active Listening,M201,Active Listening for Relationships Building,NULL,NULL,NULL
152,19,1,Bersikap sopan dan terbuka dalam bekerja sama dengan orang lain. Siap membantu saat diminta.,Johari Window,M202,Self-Awareness and Interpersonal Effectiveness,NULL,NULL,NULL
153,7,4,Menjadi panutan dalam menghadapi krisis atau tekanan tinggi, serta mampu menjaga stabilitas atau ketahanan tim dan mendorong orang lain agar tetap tangguh dalam kondisi kerja penuh dengan perubahan dan tekanan.,COPE Model (Nina Josefowitz & David Myran),M203,Effective Delegation Skills,NULL,NULL
154,7,4,Menjadi panutan dalam menghadapi krisis atau tekanan tinggi, serta mampu menjaga stabilitas atau ketahanan tim dan mendorong orang lain agar tetap tangguh dalam kondisi kerja penuh dengan perubahan dan tekanan.,4C of Change Readiness,M204,Building Trust in Teams,NULL,NULL
155,7,3,"Konsisten mempertahankan fokus dan kinerja saat menghadapi tekanan tinggi,  konflik,  atau tantangan berat,  serta mampu memulihkan produktivitas dan stabilitas kerja secara cepat dan efektif setelah menghadapi gangguan.",", Resilience in Volatility,  Uncertainty,  Complexity,  Ambiguity",M205,Strategic Decision Making for Manager,NULL,NULL,NULL
156,7,3,"Konsisten mempertahankan fokus dan kinerja saat menghadapi tekanan tinggi,  konflik,  atau tantangan berat,  serta mampu memulihkan produktivitas dan stabilitas kerja secara cepat dan efektif setelah menghadapi gangguan.",", ABCDE Model of Stress Resilience",M206,Innovation Idea for Growth,NULL,NULL,NULL
157,7,2,Mempertahankan kualitas kerja saat menghadapi beban kerja tambahan dan mampu mengelola emosi serta menyesuaikan prioritas tugas.,ABC Model of Stress (Albert Ellis – REBT),M207,ABC Model for Stress,NULL,NULL,NULL
158,7,2,Mempertahankan kualitas kerja saat menghadapi beban kerja tambahan dan mampu mengelola emosi serta menyesuaikan prioritas tugas.,STOP Technique of Emotional Control,M208,Emotional Control,NULL,NULL,NULL
